CH	UCODE	JP	INIT	FINL	TONE	DESC	DESC_JP
㐀	U+3400	jau1	j	au	1		
㐁	U+3401	dou6	d	ou	6		
㐂	U+3402	cat1	c	at	1		
㐃	U+3403	zim1	z	im	1		
㐄	U+3404	kwaa1	kw	aa	1		
㐅	U+3405	ng5		ng	5		
㐅	U+3405	m5		m	5		
㐆	U+3406	ji1	j	i	1		
㐇	U+3407	gau2	g	au	2		
㐈	U+3408	jap6	j	ap	6		
㐉	U+3409	ding1	d	ing	1		
㐊	U+340A	si6	s	i	6		
㐋	U+340B	tou2	t	ou	2		
㐌	U+340C	ji4	j	i	4		
㐍	U+340D	zaau2	z	aau	2		
㐎	U+340E	man4	m	an	4		
㐏	U+340F	ng5		ng	5		
㐏	U+340F	m5		m	5		
㐐	U+3410	nou4	n	ou	4		
㐐	U+3410	lou4	l	ou	4		
㐑	U+3411	dung1	d	ung	1		
㐒	U+3412	ziu6	z	iu	6		
㐓	U+3413	ho2	h	o	2		
㐔	U+3414	hang1	h	ang	1		
㐕	U+3415	jau4	j	au	4		
㐖	U+3416	kit3	k	it	3		
㐗	U+3417	lou5	l	ou	5		
㐘	U+3418	mai5	m	ai	5		
㐙	U+3419	dau6	d	au	6		
㐚	U+341A	ng4		ng	4		
㐚	U+341A	m4		m	4		
㐛	U+341B	jau6	j	au	6		
㐜	U+341C	sau4	s	au	4		
㐝	U+341D	keoi1	k	eoi	1		
㐞	U+341E	kei4	k	ei	4		
㐟	U+341F	fei1	f	ei	1		
㐠	U+3420	jyu5	j	yu	5		
㐡	U+3421	no6	n	o	6		
㐡	U+3421	lo6	l	o	6		
㐢	U+3422	fau4	f	au	4		
㐣	U+3423	fu3	f	u	3		
㐤	U+3424	daan1	d	aan	1		
㐥	U+3425	co4	c	o	4		
㐦	U+3426	geoi2	g	eoi	2		
㐧	U+3427	coi4	c	oi	4		
㐨	U+3428	zeoi6	z	eoi	6		
㐩	U+3429	jing4	j	ing	4		
㐪	U+342A	si2	s	i	2		
㐫	U+342B	hung1	h	ung	1		
㐬	U+342C	lau4	l	au	4		
㐭	U+342D	lam5	l	am	5		
㐮	U+342E	soeng1	s	oeng	1		
㐯	U+342F	jung4	j	ung	4		
㐰	U+3430	seon3	s	eon	3		
㐱	U+3431	can2	c	an	2		
㐲	U+3432	daai6	d	aai	6		
㐳	U+3433	ngat6	ng	at	6		
㐳	U+3433	at6		at	6		
㐴	U+3434	paan1	p	aan	1		
㐵	U+3435	jyu4	j	yu	4		
㐶	U+3436	ci5	c	i	5		
㐷	U+3437	maa6	m	aa	6		
㐷	U+3437	maa3	m	aa	3		
